"time","usage"
1486115091,49.2
1486115450,47.7
1486115750,47.6
1486116050,47.8
1486116350,47.6
1486116651,47.8
1486117011,48.2
1486117311,48.5
1486117611,48.5
1486117911,48.8
1486118271,48.5
1486118631,48.6
1486118990,49
1486119290,47.4
1486119590,47.6
1486119890,47.8
1486120190,48
1486120490,48.3
1486120791,48.2
1486121091,48.4
1486121450,48.7
1486121750,48.8
1486122051,48.7
1486122351,49.1
1486122710,49.2
1486123011,47.5
1486123370,47.9
1486123671,47.9
1486123971,48.2
1486124271,48.4
1486124630,48.5
1486124930,48.7
1486125231,48.8
1486125590,48.9
1486125891,49.1
1486126250,49.4
1486126550,47.6
1486126850,48
1486127151,48
1486127511,47.7
1486127871,47.9
1486128231,48
1486128531,48.2
1486128831,48.4
1486129131,48.5
1486129491,48.7
1486129791,48.9
1486130091,47.5
1486130391,47.4
1486130750,47.8
1486131050,48
1486131350,48.1
1486131650,48.5
1486131950,48.7
1486132251,48.3
1486132551,48.4
1486132851,48.5
1486133151,48.9
1486133510,49
1486133811,47.3
1486134170,47.7
1486134470,47.7
1486134770,47.9
1486135070,48
1486135370,48.2
1486135671,48.5
1486135971,48.6
1486136271,48.9
1486136571,49.2
1486136871,49.4
1486137171,49.5
1486137471,47.7
1486137771,47.4
1486138071,47.6
1486138430,47.6
1486138730,48.1
1486139030,48.4
1486139330,48.6
1486139630,48.6
1486139930,48.9
1486140230,48.5
1486140530,48.8
1486140830,48.8
1486141130,47.2
1486141430,47.6
1486141730,47.8
1486142031,47.9
1486142391,48.3
1486142691,48.4
1486142991,48.6
1486143350,48.8
1486143650,49
1486143950,49.3
1486144250,49.5
1486144550,48.3
1486144850,48
1486145150,48.2
1486145450,48.3
1486145751,47.9
1486146051,48
1486146351,48.5
1486146651,48.4
1486146951,48.7
1486147251,48.8
1486147551,49
1486147911,49.2
1486148271,47.4
1486148630,47.7
1486148930,47.8
1486149230,48.1
1486149530,48.2
1486149831,48.5
1486150131,48.6
1486150491,48.9
1486150851,49.2
1486151211,48.9
1486151570,49.1
1486151871,47.4
1486152171,47.7
1486152471,47.9
1486152831,48.2
1486153191,48.3
1486153550,48.4
1486153850,48.6
1486154151,48.8
1486154451,48.9
1486154811,49.1
1486155171,49.3
1486155530,47.8
1486155831,48
1486156131,48.1
1486156491,48.3
1486156851,48.1
1486157210,48.4
1486157510,48.5
1486157810,48.6
1486158111,48.8
1486158411,49
1486158711,49.3
1486159071,48.6
1486159431,47.8
1486159791,48.1
1486160151,48.4
1486160511,48.7
1486160811,48.9
1486161111,49
1486161411,49.4
1486161711,49.4
1486162011,49.2
1486162311,49
1486162670,49.1
1486162970,47.6
1486163271,47.9
1486163571,48.1
1486163871,48.3
1486164171,48.5
1486164471,48.6
1486164771,49
1486165071,49.1
1486165371,49.3
1486165671,49.6
1486165971,49.8
1486166271,50
1486166631,48.3
1486166931,48.4
1486167231,48.6
1486167590,48.6
1486167890,48.8
1486168191,48.7
1486168491,48.8
1486168791,49
1486169091,49.2
1486169391,48.9
1486169751,49
1486170110,47.9
1486170410,48
1486170710,48.3
1486171010,48.6
1486171310,48.5
1486171610,48.8
1486171910,49
1486172210,49.3
1486172510,48.8
1486172811,48.9
1486173111,49.2
1486173411,49.4
1486173771,47.8
1486174071,47.9
1486174430,48.1
1486174730,47.9
1486175030,48.2
1486175330,48.4
1486175631,48.5
1486175931,48.7
1486176231,48.9
1486176531,49.2
1486176831,49.3
1486177131,49.5
1486177431,47.7
1486177731,47.7
1486178031,48
1486178390,48.1
1486179050,47.7
1486179351,47.8
1486179651,48.1
1486179951,48.2
1486180251,47.9
1486180551,48.2
1486180851,48.4
1486181151,46.8
1486181451,47
1486181751,47.2
1486182051,47.3
1486182351,47.6
1486182651,47.7
1486182951,48
1486183251,48.1
1486183551,48.3
1486183851,48.7
1486184151,48.8
1486184511,47.1
1486184811,47.4
1486185111,47.5
1486185471,47.8
1486185771,47.2
1486186131,47.5
1486186431,47.8
1486186731,47.9
1486187031,48
1486187331,48.1
1486187631,48.3
1486187931,48.5
1486188231,46.9
1486188531,47
1486188831,47
1486189131,47.1
1486189431,47.4
1486189731,47.7
1486190031,47.7
1486190331,48
1486190631,48.2
1486190931,47.9
1486191231,48.2
1486191531,48.3
1486191891,46.7
1486192251,47
1486192611,47.1
1486192911,47.3
1486193211,47.5
1486193511,47.7
1486193811,47.7
1486194111,48
1486194411,48.2
1486194711,48.4
1486195011,48.6
1486195311,48.9
1486195611,47.2
1486195911,47.2
1486196211,47.6
1486196511,47.3
1486196811,47.5
1486197111,47.7
1486197411,47.7
1486197711,48
1486198011,48.2
1486198311,48.4
1486198611,48.7
1486198911,48.9
1486199211,47.2
1486199511,47.5
1486199811,47.6
1486200111,47.8
1486200411,47.8
1486200711,48
1486201011,48.3
1486201311,48.5
1486201611,48.7
1486201911,48.2
1486202211,48.4
1486202511,48.6
1486202811,46.9
